id,price
0,4200
6,28500
11,19000
12,51500
20,41998
22,9900
31,104900
33,15000
34,87000
35,23000
44,145000
49,34500
54,33200
76,13999
77,22000
87,27899
89,29500
96,8300
97,26500
101,65000
102,13490
103,62500
105,41950
110,87500
112,17498
113,10900
117,13999
119,11000
121,41927
124,17999
127,12900
128,15900
129,18000
131,18000
139,27671
142,51500
143,28495
145,46750
149,51900
164,29645
180,21500
183,15750
186,48000
197,39000
198,33950
201,28500
204,18000
206,36000
213,73897
225,43000
237,39998
238,17800
260,43000
262,6700
270,12800
271,44798
272,47500
274,35900
285,38000
286,31599
288,12468
297,26999
298,21800
300,49900
301,16000
304,30999
305,3850
306,6000
307,19980
308,7500
314,7500
317,25215
323,62450
326,16000
349,146000
350,349950
351,61000
355,31000
361,35900
367,34900
369,59500
378,21500
382,68420
384,77430
391,197750
394,3600
401,29950
416,22000
419,39860
423,17900
436,46750
444,24500
447,26499
464,27500
466,46500
473,28500
476,7999
477,25500
481,275000
485,26800
491,15000
498,30000
499,49990
500,12500
505,75000
508,46900
510,22000
512,18400
513,30825
516,15500
517,5500
519,46000
522,15500
541,349950
548,22000
549,29500
550,48698
560,49900
562,108900
564,45999
565,41500
567,16600
572,65000
573,31000
575,27500
577,51900
581,12900
582,18700
583,143900
585,21000
596,23500
597,20150
611,279950
616,60000
621,43000
625,5800
629,23998
634,23000
642,19995
647,15550
651,64995
652,239995
656,7700
657,28750
660,62890
663,20000
668,6299
674,25900
677,18795
684,59000
686,11000
687,23500
689,68495
690,51890
698,399900
700,23999
704,27900
705,63000
710,21500
713,45900
718,254900
734,16995
756,17000
760,26772
775,12433
787,26500
790,24999
795,44850
797,68969
800,8999
803,69900
804,26000
809,9950
811,41598
813,22500
821,32455
841,97500
844,52000
847,165000
850,11000
854,13999
859,44999
861,9995
862,12900
866,19500
868,24500
875,314900
878,46900
879,8500
883,10200
886,75499
896,48219
899,29000
920,13500
923,36880
926,45855
928,36995
929,87000
935,37999
936,6500
940,11500
943,33490
947,43666
949,15900
951,20995
963,69790
964,67000
975,10500
976,30990
979,54599
980,24999
985,14500
986,59203
989,28500
1002,39990
1003,27750
1008,110000
1009,15500
1017,115000
1020,27500
1022,10900
1025,3500
1027,39000
1032,27500
1036,9500
1040,68990
1041,6700
1045,5750
1047,85950
1054,25625
1057,10800
1059,8500
1060,43663
1068,6900
1069,60995
